BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
3,obras\Camilo-A_filha_do_doutor_negro.md,18,negative,781,0.013
3,obras\Camilo-A_filha_do_doutor_negro.md,18,neutral,58893,0.98
3,obras\Camilo-A_filha_do_doutor_negro.md,18,positive,781,0.008
3,obras\Camilo-A_filha_do_doutor_negro.md,18,compound,,-0.8679
3,obras\Camilo-A_filha_do_doutor_negro.md,19,negative,961,0.016
3,obras\Camilo-A_filha_do_doutor_negro.md,19,neutral,58953,0.981
3,obras\Camilo-A_filha_do_doutor_negro.md,19,positive,961,0.003
3,obras\Camilo-A_filha_do_doutor_negro.md,19,compound,,-0.9775
3,obras\Camilo-A_filha_do_doutor_negro.md,20,negative,841,0.014
3,obras\Camilo-A_filha_do_doutor_negro.md,20,neutral,58772,0.978
3,obras\Camilo-A_filha_do_doutor_negro.md,20,positive,841,0.007
3,obras\Camilo-A_filha_do_doutor_negro.md,20,compound,,-0.8329
3,obras\Camilo-A_filha_do_doutor_negro.md,21,negative,1081,0.018
3,obras\Camilo-A_filha_do_doutor_negro.md,21,neutral,58953,0.981
3,obras\Camilo-A_filha_do_doutor_negro.md,21,positive,1081,0.001
3,obras\Camilo-A_filha_do_doutor_negro.md,21,compound,,-0.9889
3,obras\Camilo-A_filha_do_doutor_negro.md,22,negative,1201,0.02
3,obras\Camilo-A_filha_do_doutor_negro.md,22,neutral,58412,0.972
3,obras\Camilo-A_filha_do_doutor_negro.md,22,positive,1201,0.009
3,obras\Camilo-A_filha_do_doutor_negro.md,22,compound,,-0.9873
