BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
4,obras\Camilo-O_regicida.md,22,compound,,-0.7783
4,obras\Camilo-O_regicida.md,23,negative,0,0.0
4,obras\Camilo-O_regicida.md,23,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,23,positive,0,0.0
4,obras\Camilo-O_regicida.md,23,compound,,0.0
4,obras\Camilo-O_regicida.md,24,negative,0,0.0
4,obras\Camilo-O_regicida.md,24,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,24,positive,0,0.0
4,obras\Camilo-O_regicida.md,24,compound,,0.0
4,obras\Camilo-O_regicida.md,25,negative,0,0.0
4,obras\Camilo-O_regicida.md,25,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,25,positive,0,0.0
4,obras\Camilo-O_regicida.md,25,compound,,0.0
4,obras\Camilo-O_regicida.md,26,negative,0,0.0
4,obras\Camilo-O_regicida.md,26,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,26,positive,0,0.0
4,obras\Camilo-O_regicida.md,26,compound,,0.0
4,obras\Camilo-O_regicida.md,27,negative,805,0.015
4,obras\Camilo-O_regicida.md,27,neutral,52645,0.98
4,obras\Camilo-O_regicida.md,27,positive,805,0.005
4,obras\Camilo-O_regicida.md,27,compound,,-0.9059
4,obras\Camilo-O_regicida.md,28,negative,429,0.008
4,obras\Camilo-O_regicida.md,28,neutral,53290,0.992
4,obras\Camilo-O_regicida.md,28,positive,429,0.0
4,obras\Camilo-O_regicida.md,28,compound,,-0.296
4,obras\Camilo-O_regicida.md,29,negative,0,0.0
4,obras\Camilo-O_regicida.md,29,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,29,positive,0,0.0
4,obras\Camilo-O_regicida.md,29,compound,,0.0
4,obras\Camilo-O_regicida.md,30,negative,698,0.013
4,obras\Camilo-O_regicida.md,30,neutral,53021,0.987
4,obras\Camilo-O_regicida.md,30,positive,698,0.0
4,obras\Camilo-O_regicida.md,30,compound,,-0.5267
4,obras\Camilo-O_regicida.md,31,negative,1665,0.031
4,obras\Camilo-O_regicida.md,31,neutral,52054,0.969
4,obras\Camilo-O_regicida.md,31,positive,1665,0.0
4,obras\Camilo-O_regicida.md,31,compound,,-0.296
4,obras\Camilo-O_regicida.md,32,negative,1987,0.037
4,obras\Camilo-O_regicida.md,32,neutral,50067,0.932
4,obras\Camilo-O_regicida.md,32,positive,1987,0.031
4,obras\Camilo-O_regicida.md,32,compound,,-0.1027
4,obras\Camilo-O_regicida.md,33,negative,322,0.006
4,obras\Camilo-O_regicida.md,33,neutral,53397,0.994
4,obras\Camilo-O_regicida.md,33,positive,322,0.0
4,obras\Camilo-O_regicida.md,33,compound,,-0.5267
4,obras\Camilo-O_regicida.md,34,negative,859,0.016
4,obras\Camilo-O_regicida.md,34,neutral,52860,0.984
4,obras\Camilo-O_regicida.md,34,positive,859,0.0
4,obras\Camilo-O_regicida.md,34,compound,,-0.5267
4,obras\Camilo-O_regicida.md,35,negative,1128,0.021
4,obras\Camilo-O_regicida.md,35,neutral,52000,0.968
4,obras\Camilo-O_regicida.md,35,positive,1128,0.012
4,obras\Camilo-O_regicida.md,35,compound,,-0.4019
4,obras\Camilo-O_regicida.md,36,negative,0,0.0
4,obras\Camilo-O_regicida.md,36,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,36,positive,0,0.0
4,obras\Camilo-O_regicida.md,36,compound,,0.0
4,obras\Camilo-O_regicida.md,37,negative,752,0.014
4,obras\Camilo-O_regicida.md,37,neutral,52967,0.986
4,obras\Camilo-O_regicida.md,37,positive,752,0.0
4,obras\Camilo-O_regicida.md,37,compound,,-0.5267
4,obras\Camilo-O_regicida.md,38,negative,322,0.006
4,obras\Camilo-O_regicida.md,38,neutral,52591,0.979
4,obras\Camilo-O_regicida.md,38,positive,322,0.014
4,obras\Camilo-O_regicida.md,38,compound,,0.7003
4,obras\Camilo-O_regicida.md,39,negative,0,0.0
4,obras\Camilo-O_regicida.md,39,neutral,53720,1.0
4,obras\Camilo-O_regicida.md,39,positive,0,0.0
4,obras\Camilo-O_regicida.md,39,compound,,0.0
4,obras\Camilo-O_regicida.md,40,negative,805,0.015
4,obras\Camilo-O_regicida.md,40,neutral,52914,0.985
4,obras\Camilo-O_regicida.md,40,positive,805,0.0
4,obras\Camilo-O_regicida.md,40,compound,,-0.8883
4,obras\Camilo-O_regicida.md,41,negative,752,0.014
4,obras\Camilo-O_regicida.md,41,neutral,52645,0.98
4,obras\Camilo-O_regicida.md,41,positive,752,0.005
4,obras\Camilo-O_regicida.md,41,compound,,-0.4939
